"","lifehistory","Rest","SigmaR","Lyears","Nsamp","Fscen","label","n_re1"
"1","long_fast","R_biasadjusted","HighSigmaR","L100","perfect","F1","data-rich",0
"2","long_fast","R_biasadjusted","HighSigmaR","L100","perfect","F1","perfect",1
"3","long_fast","R_biasadjusted","HighSigmaR","L100","perfect","F2","data-rich",0
"4","long_fast","R_biasadjusted","HighSigmaR","L100","perfect","F2","perfect",0
"5","long_fast","R_biasadjusted","HighSigmaR","L1","N200","F1","L1_N200",8
"6","long_fast","R_biasadjusted","HighSigmaR","L1","N200","F2","L1_N200",4
"7","long_fast","R_biasadjusted","HighSigmaR","L1","N50","F1","L1_N50",14
"8","long_fast","R_biasadjusted","HighSigmaR","L10","N200","F1","L10_N200",2
"9","long_fast","R_biasadjusted","HighSigmaR","L10","N200","F2","L10_N200",1
"10","long_fast","R_biasadjusted","HighSigmaR","L10","N50","F1","L10_N50",5
"11","long_fast","R_biasadjusted","HighSigmaR","L2","N200","F1","L2_N200",5
"12","long_fast","R_biasadjusted","HighSigmaR","L2","N200","F2","L2_N200",4
"13","long_fast","R_biasadjusted","HighSigmaR","L2","N50","F1","L2_N50",19
"14","long_fast","R_biasadjusted","HighSigmaR","L20","N200","F1","L20_N200",1
"15","long_fast","R_biasadjusted","HighSigmaR","L20","N200","F2","L20_N200",0
"16","long_fast","R_biasadjusted","HighSigmaR","L20","N50","F1","L20_N50",1
"17","long_fast","R_biasadjusted","HighSigmaR","L20","N50","F2","L20_N50",0
"18","long_fast","R_biasadjusted","HighSigmaR","L20","Ndecline","F1","L20_Ndecline",1
"19","long_fast","R_biasadjusted","HighSigmaR","L20","Ndecline","F2","L20_Ndecline",0
"20","long_fast","R_biasadjusted","HighSigmaR","L5","N200","F1","L5_N200",4
"21","long_fast","R_biasadjusted","HighSigmaR","L5","N200","F2","L5_N200",2
"22","long_fast","R_biasadjusted","HighSigmaR","L5","N50","F1","L5_N50",10
"23","long_fast","R_biasadjusted","HighSigmaR","L75","N200","F1","L75_N200",1
"24","long_fast","R_biasadjusted","HighSigmaR","L75","N200","F2","L75_N200",0
"25","long_fast","R_biasadjusted","HighSigmaR","L75","N50","F1","L75_N50",1
"26","long_fast","R_biasadjusted","LowSigmaR","L100","perfect","F1","data-rich",0
"27","long_fast","R_biasadjusted","LowSigmaR","L100","perfect","F1","perfect",0
"28","long_fast","R_biasadjusted","LowSigmaR","L100","perfect","F2","data-rich",0
